YEAR;QUARTER;MARKET;PRODUCT_ID;TRAJET;AIRPORT_CON;AIRLINE;Return_Ticket;Distance;Direct_distance;PAX;PRICE;AERODEP;MAINDEP;CPDEAERODEP;VILLE_DEP;CODEVILDEP;POPDEP;AEROARR;MAINARR;CPDEAEROARR;VILLE_ARR;CODEVILARR;POPARR;SQRT(PRODPOP)
2017;2;ATL-AUS;"ATL:AUS"-F9-1;"ATL:AUS";NoCon;F9;1;813;813;140;56.16;ATL;1;10397;ATL;30397;5872432;AUS;1;10423;AUS;30423;2115475;3.525
2017;2;ATL-AUS;"ATL:AUS"-DL-1;"ATL:AUS";NoCon;DL;1;813;813;1245;214.67;ATL;1;10397;ATL;30397;5872432;AUS;1;10423;AUS;30423;2115475;3.525
2017;2;ATL-AUS;"ATL:AUS"-WN-1;"ATL:AUS";NoCon;WN;1;813;813;270;160.37;ATL;1;10397;ATL;30397;5872432;AUS;1;10423;AUS;30423;2115475;3.525
2017;2;ATL-BIR;"ATL:BHM"-DL-1;"ATL:BHM";NoCon;DL;1;134;134;26;266.19;ATL;1;10397;ATL;30397;5872432;BHM;1;10599;BIR;30599;1085615;2.525
2017;2;ATL-BOS;"ATL:BOS"-WN-1;"ATL:BOS";NoCon;WN;1;946;946;776;118.35;ATL;1;10397;ATL;30397;5872432;BOS;1;10721;BOS;30721;1616614;3.081
2017;2;ATL-BOS;"ATL:BOS"-DL-1;"ATL:BOS";NoCon;DL;1;946;946;3176;176.98;ATL;1;10397;ATL;30397;5872432;BOS;1;10721;BOS;30721;1616614;3.081
2017;2;ATL-BOS;"ATL:BOS"-B6-1;"ATL:BOS";NoCon;B6;1;946;946;1067;104.79;ATL;1;10397;ATL;30397;5872432;BOS;1;10721;BOS;30721;1616614;3.081
2017;2;ATL-BOS;"ATL:BOS"-NK-1;"ATL:BOS";NoCon;NK;1;946;946;188;59.93;ATL;1;10397;ATL;30397;5872432;BOS;1;10721;BOS;30721;1616614;3.081
2017;2;ATL-BOS;"ATL:PVD"-DL-1;"ATL:PVD";NoCon;DL;1;903;903;558;202.23;ATL;1;10397;ATL;30397;5872432;PVD;0;14307;BOS;30721;1616614;3.081
2017;2;ATL-BOS;"ATL:MHT"-DL-1;"ATL:MHT";NoCon;DL;1;952;952;97;157.88;ATL;1;10397;ATL;30397;5872432;MHT;0;13296;BOS;30721;1616614;3.081
2017;2;ATL-BUF;"ATL:MDW:BUF"-WN-1;"ATL:MDW:BUF";MDW;WN;1;1059;712;11;169.45;ATL;1;10397;ATL;30397;5872432;BUF;1;10792;BUF;30792;1129882;2.576
2017;2;ATL-BUF;"ATL:CLT:BUF"-AA-1;"ATL:CLT:BUF";CLT;AA;1;772;712;22;149.95;ATL;1;10397;ATL;30397;5872432;BUF;1;10792;BUF;30792;1129882;2.576
2017;2;ATL-BUF;"ATL:BUF"-DL-1;"ATL:BUF";NoCon;DL;1;712;712;752;177.91;ATL;1;10397;ATL;30397;5872432;BUF;1;10792;BUF;30792;1129882;2.576
